rev,n,total,mean,sd
423330263,1321,4223.75,3.2,1.82
bfbc0b32c,1324,4232.75,3.2,1.82
288cc6c23,1324,4232.75,3.2,1.82
2cb8c1540,1342,4319.75,3.22,1.84
2c5e637b5,1349,4337.75,3.22,1.84
1f0ae3ed0,1337,4296.75,3.21,1.85
7196a3b1d,1337,4296.75,3.21,1.85
4cb6fa0a9,1338,4299.75,3.21,1.84
7f0be2aa2,1346,4320.75,3.21,1.84
bf33700ec,1367,4375.75,3.2,1.83
151b08e0f,1376,4399.75,3.2,1.83
cc2f9b32c,1383,4417.75,3.19,1.82
cc1028149,1383,4417.75,3.19,1.82
0ca3b8e01,1385,4423.75,3.19,1.82
47512b320,1385,4423.75,3.19,1.82
0b7f06b44,1395,4449.75,3.19,1.82
a21076ed3,1395,4449.75,3.19,1.82
485afdd3c,1404,4471.75,3.19,1.81
47532cd9f,1408,4480.75,3.18,1.81
d4d93db2c,1627,5128.5,3.15,1.79
b30c75dda,1621,5108.75,3.15,1.79
89fca671f,1618,5101.75,3.15,1.79
e41e16026,1623,5112.75,3.15,1.79
4f065f12f,1627,5122.75,3.15,1.79
dafb4e504,1634,5142.75,3.15,1.79
2b22290ce,1645,5172.75,3.14,1.79
0c6f5023c,1645,5172.75,3.14,1.79
10f55fe6c,1638,5152.25,3.15,1.79
5df2da5b9,1648,5177.25,3.14,1.78
f8a08cb90,1648,5177.25,3.14,1.78
1c2bec0f8,1654,5195.25,3.14,1.78
eb63ea1e1,1656,5200.25,3.14,1.78
b877031d8,1655,5199.25,3.14,1.78
0661cfef7,1647,5167.75,3.14,1.78
50c9636d8,1704,5346.75,3.14,1.77
dccf535f8,1715,5388.75,3.14,1.77
a09ad90a7,1712,5379.75,3.14,1.77
5f063a80b,1711,5377.75,3.14,1.77
082ab86f5,1709,5369.75,3.14,1.77
e42389f9d,1702,5347.75,3.14,1.77
1711b929b,1702,5347.75,3.14,1.77
27df5199d,1726,5423.75,3.14,1.76
df8d3d128,1729,5433.75,3.14,1.76
247181536,1729,5433.75,3.14,1.76
15dac210f,1739,5488.75,3.16,1.77
726efc6a3,1739,5488.75,3.16,1.77
32b14baf8,1740,5488.75,3.15,1.78
7329ff546,1741,5491.75,3.15,1.78
26df46ee5,1732,5457.25,3.15,1.77
555aa2190,1727,5439.5,3.15,1.77
239b7befd,1571,4994.0,3.18,1.84
c7e63aa4d,1571,4994.0,3.18,1.84
79455cf42,1568,4987.0,3.18,1.84
e75a6301b,1577,5015.5,3.18,1.84
4708f13a9,1578,5017.5,3.18,1.84
4285e423a,1581,5024.5,3.18,1.84
da224daaa,1593,5057.5,3.17,1.83
66d433b94,1594,5061.5,3.18,1.83
090c856d7,1635,5167.5,3.16,1.83
8e5314a46,1650,5209.5,3.16,1.82
